Name,X_Coord,Y_Coord
Sidi_Gaber,31.219,29.942
Smouha,31.214,29.945
Stanli,31.234,29.948
Sanstefano,31.245,29.966
Almanshia,31.203,29.902
Sporting,31.222,29.933
Camp_Shizar,31.214,29.920
Victoria,31.249,29.971
Almahroosa,31.254,29.975
Mohammed_nageeb,31.258,29.980
Miami,31.270,29.997
Alibrahimia,31.209,29.927
Alasafra,31.273,30.001
Almandara,31.279,30.015
Almamoura,31.289,30.038
Toson,31.303,30.060
Abo_Qeer,31.319,30.062
Fcds,31.207,29.942
Bacos,31.236,29.972
Gleem,31.242,29.959
Feleming,31.230,29.959
Alsoyof,31.240,29.992
Alagami,31.148,29.851
Almosheer_st,31.227,29.941
Kafr_abdo,31.227,29.953
Alwardiyan,31.172,29.873
FortyFiveSt_gibli,31.257,30.014
Almalaha,31.265,30.028
