NodeA,NodeB,Distance_Km,Speed_Limit
Sidi_Gaber,Almosheer_st,0.5,30
Almosheer_st,Sidi_Gaber,0.5,30
Smouha,Sidi_Gaber,0.5,30
Sidi_Gaber,Smouha,0.5,30
Stanli,Almosheer_st,1.3,35
Almosheer_st,Stanli,1.3,35
Sanstefano,Gleem,0.6,35
Gleem,Sanstefano,0.6,35
Almanshia,Camp_Shizar,2.1,30
Camp_Shizar,Almanshia,2.1,30
Sporting,Almosheer_st,1.1,40
Almosheer_st,Sporting,1.1,40
Sporting,Camp_Shizar,1.3,40
Camp_Shizar,Sporting,1.3,40
Camp_Shizar,Alibrahimia,1.1,30
Alibrahimia,Camp_Shizar,1.1,30
Sanstefano,Victoria,1.2,35
Victoria,Sanstefano,1.2,35
Victoria,Bacos,1.5,30
Bacos,Victoria,1.5,30
Victoria,Almahroosa,0.7,30
Almahroosa,Victoria,0.7,30
Almahroosa,Sanstefano,1.3,35
Sanstefano,Almahroosa,1.3,35
Almahroosa,Mohammed_nageeb,0.6,40
Mohammed_nageeb,Almahroosa,0.6,40
Miami,Mohammed_nageeb,2.1,35
Mohammed_nageeb,Miami,2.1,35
Alibrahimia,Sidi_Gaber,1.3,40
Sidi_Gaber,Alibrahimia,1.3,40
Alasafra,Miami,0.5,40
Miami,Alasafra,0.5,40
Alasafra,Almandara,1.2,40
Almandara,Alasafra,1.2,40
Almandara,Almamoura,1.3,35
Almamoura,Almandara,1.3,35
Almamoura,Toson,3.7,30
Toson,Almamoura,3.7,30
Toson,Abo_Qeer,1.9,25
Abo_Qeer,Toson,1.9,25
Fcds,Smouha,0.8,30
Smouha,Fcds,0.8,30
Bacos,Feleming,1.0,30
Feleming,Bacos,1.0,30
Bacos,Gleem,0.5,30
Gleem,Bacos,0.5,30
Gleem,Stanli,1.1,40
Stanli,Gleem,1.1,40
Stanli,Kafr_abdo,0.8,30
Kafr_abdo,Stanli,0.8,30
Feleming,Kafr_abdo,0.7,30
Kafr_abdo,Feleming,0.7,30
Bacos,Alsoyof,2.5,30
Alsoyof,Bacos,2.5,30
Alagami,Alwardiyan,10.0,50
Alwardiyan,Alagami,10.0,50
Kafr_abdo,Sidi_Gaber,1.2,30
Sidi_Gaber,Kafr_abdo,1.2,30
Alwardiyan,Almanshia,4.5,40
Almanshia,Alwardiyan,4.5,40
Alibrahimia,Smouha,1.3,30
Smouha,Alibrahimia,1.3,30
FortyFiveSt_gibli,Alsoyof,2.6,30
Alsoyof,FortyFiveSt_gibli,2.6,30
FortyFiveSt_gibli,Miami,2.2,40
Miami,FortyFiveSt_gibli,2.2,40
FortyFiveSt_gibli,Almalaha,1.5,30
Almalaha,FortyFiveSt_gibli,1.6,30
Almalaha,Almandara,1.9,30
Almandara,Almalaha,1.9,30
Almalaha,Almamoura,2.7,30
Almamoura,Almalaha,2.7,30
